UWI,depth,latitude,longitude,gamma,neutron porosity,pe,sp,member,formation
4900722319,1905.5,41.61984,107.912908,56.6505,0.4143,5.6321,26.3559,Tfob,Tfu
4900722319,1906,41.61984,107.912908,51.5133,0.4172,5.5281,26.5849,Tfob,Tfu
4900722319,1906.5,41.61984,107.912908,49.2039,0.4305,5.5954,26.4419,Tfob,Tfu
4900722319,1907,41.61984,107.912908,51.584,0.432,5.737,26.2508,Tfob,Tfu
4900722319,1907.5,41.61984,107.912908,55.7786,0.4159,5.8767,26.2902,Tfob,Tfu
4900722319,1908,41.61984,107.912908,59.1249,0.4144,5.9782,26.334,Tfob,Tfu
4900722319,1908.5,41.61984,107.912908,58.1822,0.4223,6.0598,26.3602,Tfob,Tfu
4900722319,1909,41.61984,107.912908,57.6167,0.4229,6.1165,26.0276,Tfob,Tfu
4900722319,1909.5,41.61984,107.912908,58.0644,0.4167,6.1274,25.7357,Tfob,Tfu
4900722319,1910,41.61984,107.912908,58.2765,0.4058,6.0365,25.1404,Tfob,Tfu
4900722319,1910.5,41.61984,107.912908,55.543,0.3929,5.7926,24.9434,Tfob,Tfu
4900722319,1911,41.61984,107.912908,53.8227,0.3887,5.4524,24.8179,Tfob,Tfu
4900722319,1911.5,41.61984,107.912908,56.0614,0.3981,5.0774,25.085,Tfob,Tfu
4900722319,1912,41.61984,107.912908,58.7007,0.4102,4.74,25.3534,Tfob,Tfu
4900722319,1912.5,41.61984,107.912908,56.8155,0.4172,4.4544,25.6963,Tfob,Tfu
4900722319,1913,41.61984,107.912908,53.9405,0.4203,4.2639,25.8627,Tfob,Tfu
4900722319,1913.5,41.61984,107.912908,52.4324,0.4242,4.1687,25.5402,Tfob,Tfu
4900722319,1914,41.61984,107.912908,52.126,0.4137,4.0619,25.5344,Tfob,Tfu
4900722319,1914.5,41.61984,107.912908,50.0287,0.3957,3.8441,25.4585,Tfob,Tfu
4900722319,1915,41.61984,107.912908,49.4867,0.3936,3.53,25.6423,Tfob,Tfu
4900722319,1915.5,41.61984,107.912908,51.3248,0.4025,3.3224,26.0626,Tfob,Tfu
4900722319,1916,41.61984,107.912908,55.0952,0.411,3.304,25.9283,Tfob,Tfu
4900722319,1916.5,41.61984,107.912908,55.5665,0.4135,3.431,25.4789,Tfob,Tfu
4900722319,1917,41.61984,107.912908,57.5931,0.4148,3.5767,25.8028,Tfob,Tfu
4900722319,1917.5,41.61984,107.912908,58.5593,0.4068,3.7744,25.7241,Tfob,Tfu
4900722319,1918,41.61984,107.912908,61.175,0.3828,4.0788,25.6599,Tfob,Tfu
4900722319,1918.5,41.61984,107.912908,59.8318,0.371,4.5161,25.5971,Tfob,Tfu
4900722319,1919,41.61984,107.912908,58.8656,0.3841,5.0134,25.3388,Tfob,Tfu
4900722319,1919.5,41.61984,107.912908,57.7816,0.3991,5.4618,24.7946,Tfob,Tfu
4900722319,1920,41.61984,107.912908,56.0378,0.4079,5.7386,24.8778,Tfob,Tfu
4900722319,1920.5,41.61984,107.912908,54.836,0.4168,5.771,24.5305,Tfob,Tfu
4900722319,1921,41.61984,107.912908,54.5532,0.419,5.6168,24.6209,Tfob,Tfu
4900722319,1921.5,41.61984,107.912908,55.1188,0.4125,5.4136,24.8953,Tfob,Tfu
4900722319,1922,41.61984,107.912908,56.3677,0.4164,5.2843,24.6662,Tfob,Tfu
4900722319,1922.5,41.61984,107.912908,55.3073,0.4313,5.2234,24.6458,Tfob,Tfu
4900722319,1923,41.61984,107.912908,54.5768,0.4254,5.1531,24.5276,Tfob,Tfu
4900722319,1923.5,41.61984,107.912908,53.375,0.406,4.9987,24.2182,Tfob,Tfu
4900722319,1924,41.61984,107.912908,55.1188,0.4037,4.8287,24.0504,Tfob,Tfu
4900722319,1924.5,41.61984,107.912908,58.2765,0.4152,4.7733,24.5334,Tfob,Tfu
4900722319,1925,41.61984,107.912908,61.4342,0.4317,4.8816,24.7143,Tfob,Tfu
4900722319,1925.5,41.61984,107.912908,61.5521,0.4389,5.0548,24.8953,Tfob,Tfu
4900722319,1926,41.61984,107.912908,56.9804,0.4293,5.1367,25.1448,Tfob,Tfu
4900722319,1926.5,41.61984,107.912908,52.3145,0.4215,5.0943,25.2615,Tfob,Tfu
4900722319,1927,41.61984,107.912908,51.7254,0.4207,4.9912,25.085,Tfob,Tfu
4900722319,1927.5,41.61984,107.912908,57.7581,0.4119,4.8926,24.8748,Tfob,Tfu
4900722319,1928,41.61984,107.912908,63.5315,0.3989,4.8069,25.0251,Tfob,Tfu
4900722319,1928.5,41.61984,107.912908,66.5479,0.3947,4.7032,25.3301,Tfob,Tfu
4900722319,1929,41.61984,107.912908,65.2989,0.4011,4.6376,25.4366,Tfob,Tfu
4900722319,1929.5,41.61984,107.912908,65.6995,0.4111,4.7167,25.155,Tfob,Tfu
4900722319,1930,41.61984,107.912908,67.2548,0.413,4.9847,25.333,Tfob,Tfu
4900722319,1930.5,41.61984,107.912908,70.1062,0.4063,5.308,25.4016,Tfob,Tfu
